N,P,K,temperature,humidity,ph,rainfall,label
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
133,47,24,24.40228894,79.19732001,7.231324765,90.8022356,cotton
136,36,20,23.09595631,84.86275707,6.925412377000001,71.29581071,cotton
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton
126,50,19,24.69457084,81.7358876,6.6287228360000015,78.58494391,cotton
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
107,45,25,23.0865933,83.55546146,7.2277455160000015,71.84080724,cotton
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton
111,40,25,24.48469200000001,84.44932014,6.187455798999999,90.94342484,cotton
131,35,18,24.49112609,82.24415809,7.0576933660000005,64.02949379,cotton
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
100,46,18,24.18586246,76.04203958,6.4316895060000006,69.08056728,cotton
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton
121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,cotton
101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,cotton
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton
100,41,22,22.4204752,84.55794703,7.318802162000001,93.46595573,cotton
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton
102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,cotton
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton
118,45,23,23.37044424,77.43198948,7.977651226,71.67870701,cotton
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton
125,60,17,24.14386157,84.51591287,6.785723961,80.36146974,cotton
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton
113,38,25,22.00085141,79.47270984,7.388265887999999,90.42224164,cotton
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,cotton
122,48,16,24.65425757,75.6350708,6.307585854,61.82980133,cotton
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
103,42,17,24.29470232,84.61527627,6.527541661,81.05902285,cotton
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton
127,37,18,24.87663664,76.30050373,7.041065585,91.9223468,cotton
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,cotton
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
122,40,17,24.96440768,81.31677618,6.854558957,80.03995829,cotton
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,cotton
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,cotton
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
118,50,19,22.95604064,82.33733678,6.360812227,66.48339303,cotton
103,51,20,22.80213132,84.14668447,7.0466074339999984,91.6389565,cotton
133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,cotton
129,47,20,24.41212325,80.80343786,6.281913857999999,98.60457373,cotton
116,52,19,22.94276687,75.37170612,6.114525877,67.08022574,cotton
114,40,23,25.53676123,81.13668716,6.7539780610000015,95.4262599,cotton
131,60,17,25.32023717,81.79475917,7.4250413160000015,83.46532547,cotton
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton
123,44,21,25.78544484,75.00539324,7.6411165689999985,91.39578861,cotton
112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,cotton
119,44,15,22.14593688,82.85975490000001,7.091992365,60.65381719,cotton
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
127,53,24,22.21506982,76.17851932,6.127939627999999,70.40557612,cotton
134,52,18,23.9643129,76.59175937,7.994679507000001,76.13090645,cotton
109,36,18,25.40059227,76.53237965,7.524707577,62.51388670000001,cotton
100,48,17,23.7805123,83.03878838,7.827877817999999,66.26555904,cotton
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton
111,39,22,22.60361557,80.35090459999998,6.135025006,88.57395505,cotton
117,51,15,22.9535715,78.71555832,6.044556594,99.75336197,cotton
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,cotton
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton
112,54,15,25.46228792,81.56641891,6.1754923060000015,76.88582484,cotton
105,56,15,25.96779712,81.97904282,7.272316208999999,74.14169043,cotton
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,cotton
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton
121,53,19,23.51308653,76.72621429,7.976889497999999,80.11272117,cotton
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,cotton
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton
100,52,19,23.45969093,82.44777468,7.903528672999999,93.50153555,cotton
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,cotton
118,44,23,22.08458267,82.82904143,6.6916904760000016,67.06459777,cotton
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,cotton
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,cotton
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton
102,45,16,23.65629976,77.52425987,7.2942193,74.8984994,cotton
131,56,20,22.00817088,81.83896111,7.762647875,92.23645249,cotton
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,cotton
106,46,20,23.43821725,78.63388824,6.2006719760000015,81.15072105,cotton
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,cotton
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,cotton
110,39,18,24.54795322,75.39752705,7.766259768999999,63.88079866,cotton
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
